iter,roll_success,roll_return,critic_loss,policy_loss,mean_weight,eval_success
1,0.125,313.7075382277943,591.866650390625,0.0,0.0,
2,0.21875,263.925024433305,464.94354782104494,0.0,0.0,
3,0.15625,300.0509672783561,390.16905876159666,0.0,0.0,
4,0.125,280.65828056508724,259.22167282104493,0.07848996598273515,2.7451560258865357,
5,0.25,286.3708805175141,196.65777044296266,0.06657906670123338,2.7617296028137206,
6,0.09375,296.42570317697283,179.33930532455443,0.09463164921849966,2.698230118751526,
7,0.09375,245.42055527181537,129.21575321197508,0.09992906983941793,2.6528877329826357,
8,0.28125,315.50494555530474,192.45865438461303,0.06851660054177046,2.3691291570663453,
9,0.03125,330.8717942914838,202.09046800613405,0.09860412802547217,2.4787248492240908,
10,0.09375,233.04225739593386,97.40874156951904,0.11141500908881426,2.9877492237091063,0.150000
11,0.15625,243.16026743690148,102.18829898834228,0.11781315367668867,2.6303188800811768,
12,0.21875,222.2221272199305,70.15768724441529,0.09462785847485065,2.87381023645401,
13,0.0625,307.8574399177399,132.10003080368043,0.07439549595117569,2.498405439853668,
14,0.09375,296.571484382021,95.10087694168091,0.13154872238636017,2.7691330742836,
15,0.15625,309.16471542064215,109.79921271324157,0.12863625206053256,2.805004885196686,
16,0.125,308.70039785002564,123.88872475624085,0.10744812212884426,2.2778529739379882,
17,0.125,262.2619399769448,85.87614203453064,0.1255295240134001,2.529709510803223,
18,0.125,247.99564485942494,98.03601047515869,0.11805703222751618,2.5576557183265685,
19,0.25,294.71427018957695,84.54841141700744,0.13946001961827278,2.607971518039703,
20,0.125,252.6885036781248,80.50976976394654,0.09606030322611332,2.7398316168785097,0.150000
21,0.0625,297.4006815607718,93.89424154281616,0.1290752161294222,2.457732443809509,
22,0.125,280.9549650707258,71.84479580879211,0.1791424708068371,2.8884316158294676,
23,0.125,278.0602459571972,131.91135677337647,0.10920993953943253,2.2363366222381593,
24,0.03125,252.22207727064344,83.91536192893982,0.14683533161878587,2.68488596200943,
25,0.09375,263.1442572197814,81.16340669631958,0.1641118796169758,2.582473554611206,
26,0.03125,247.55294148519292,70.4772285079956,0.14707450203597547,2.6586074519157408,
27,0.0,274.95562086229967,137.77669157028197,0.1465069591253996,2.5779603791236876,
28,0.15625,235.96283025530172,81.5361626625061,0.14275450065732,2.6907667684555054,
29,0.0,235.23359490585898,90.29732582092285,0.14369142383337022,2.3785761475563048,
30,0.03125,324.0580354232088,139.34700793266296,0.1258173656463623,2.5775337862968444,0.150000
31,0.15625,285.00064234306217,132.93887521743775,0.16126002505421638,2.6675415325164793,
32,0.0,289.7089560426179,103.68465107917785,0.17484841421246528,2.407157335281372,
33,0.0625,230.97318103411462,146.4806366920471,0.12175808116793632,2.5810758519172667,
34,0.03125,228.1741293920272,73.17495251655579,0.21818117767572404,2.963899655342102,
35,0.09375,278.6633871782396,108.16795909881591,0.1382671456038952,2.763473935127258,
36,0.0625,237.42207861180418,73.43339428901672,0.22217887476086617,2.896080188751221,
37,0.03125,248.50679155926548,61.811895670890806,0.21469118997454642,3.172405807971954,
38,0.0,319.9662261416099,145.65468046188354,0.1986049062758684,2.4054294431209566,
39,0.0625,312.55502808520447,102.39778354644776,0.16337411671876909,2.4710210227966307,
40,0.03125,267.6610298389295,85.34723029136657,0.2414509151875973,2.789942691326141,0.050000
41,0.0,250.54600424401931,83.78323176383972,0.16980197623372079,2.41137148976326,
42,0.0625,224.95865629156182,57.83235126018524,0.19181149683892726,2.525989158153534,
